runway_id,ident,runway_length,runway_surface
586,KEVV,6286.0,asphalt
587,KEVV,8021.0,asphalt
588,KEVW,7300.0,asphalt
589,KEVW,7300.0,asphalt
590,KEWB,5000.0,asphalt
591,KEWK,7003.0,asphalt
592,KEWN,6004.0,asphalt
593,KEWR,10000.0,asphalt
594,KEWR,11000.0,asphalt
595,KEXX,5000.0,asphalt
596,KEYF,5001.0,asphalt
597,KEZM,6506.0,asphalt
598,KF05,5099.0,asphalt
599,KF17,5501.0,asphalt
600,KF22,5098.0,asphalt
601,KF22,5200.0,asphalt
602,KF22,5200.0,asphalt
603,KF24,5001.0,asphalt
604,KF70,6000.0,asphalt
605,KFAT,8008.0,asphalt
606,KFAT,9217.0,asphalt
607,KFAY,7712.0,asphalt
608,KFBR,6402.0,asphalt
609,KFCI,5500.0,asphalt
610,KFCM,5000.0,asphalt
611,KFDK,5220.0,asphalt
612,KFDR,6000.0,asphalt
613,KFDR,6099.0,asphalt
614,KFDW,5004.0,asphalt
615,KFDY,5883.0,asphalt
616,KFDY,6500.0,asphalt
617,KFEP,5504.0,asphalt
618,KFET,5500.0,asphalt
619,KFFC,5219.0,asphalt
620,KFFM,5639.0,asphalt
621,KFFT,5005.0,asphalt
622,KFFX,6500.0,asphalt
623,KFFZ,5101.0,asphalt
624,KFGX,5001.0,asphalt
625,KFIT,5001.0,asphalt
626,KFKL,5200.0,asphalt
627,KFKR,5000.0,asphalt
628,KFLD,5941.0,asphalt
629,KFLG,6999.0,asphalt
630,KFLL,8000.0,asphalt
631,KFLL,9000.0,asphalt
632,KFLO,5999.0,asphalt
633,KFLO,6499.0,asphalt
634,KFLP,5000.0,asphalt
635,KFLX,5703.0,asphalt
636,KFMN,6500.0,asphalt
637,KFMN,6704.0,asphalt
638,KFMY,6406.0,asphalt
639,KFNL,8500.0,asphalt
640,KFNT,7201.0,asphalt
641,KFNT,7849.0,asphalt
642,KFOA,5003.0,asphalt
643,KFOD,5300.0,asphalt
644,KFOD,6548.0,asphalt
645,KFOK,5000.0,asphalt
646,KFPR,6492.0,asphalt
647,KFQD,5000.0,asphalt
648,KFRG,5516.0,asphalt
649,KFRG,6827.0,asphalt
650,KFRH,5500.0,asphalt
651,KFRM,5505.0,asphalt
652,KFSD,8000.0,asphalt
653,KFSM,5002.0,asphalt
654,KFSM,8000.0,asphalt
655,KFST,7507.0,asphalt
656,KFSU,5300.0,asphalt
657,KFSU,5800.0,asphalt
658,KFTG,8000.0,asphalt
659,KFTG,8000.0,asphalt
660,KFTK,5185.0,asphalt
661,KFTK,5253.0,asphalt
662,KFTY,5796.0,asphalt
663,KFWS,6002.0,asphalt
664,KFXE,6001.0,asphalt
665,KFXY,5806.0,asphalt
666,KFYE,5000.0,asphalt
667,KFYJ,5000.0,asphalt
668,KFYM,5900.0,asphalt
669,KFYV,6006.0,asphalt
670,KFZG,5002.0,asphalt
671,KFZY,5197.0,asphalt
672,KGAD,6802.0,asphalt
673,KGAG,5415.0,asphalt
674,KGBD,7850.0,asphalt
675,KGBG,5793.0,asphalt
676,KGCD,5220.0,asphalt
677,KGCM,5200.0,asphalt
678,KGCN,8999.0,asphalt
679,KGCY,6302.0,asphalt
680,KGDJ,5201.0,asphalt
681,KGDV,5704.0,asphalt
682,KGED,5500.0,asphalt
683,KGEG,8198.0,asphalt
684,KGEG,11002.0,asphalt
685,KGEU,7099.0,asphalt
686,KGEY,6953.0,asphalt
687,KGEY,7003.0,asphalt
688,KGEZ,5000.0,asphalt
689,KGFK,7349.0,asphalt
690,KGFL,5000.0,asphalt
691,KGGE,5001.0,asphalt
