ident,iata_code,icao_code,local_code,name,type,latitude_deg,longitude_deg,elevation_ft,country_name,region_name,runway_lengths_ft,runway_surfaces,airtanker_base,index__gacc,gacc
KAFJ,WSG,KAFJ,AFJ,Washington County Airport,small_airport,40.136501,-80.290199,1184.0,United States,Pennsylvania,5000,asphalt,False,51,Eastern Area Coordination Center
KAFO,AFO,KAFO,AFO,Afton Municipal Airport,small_airport,42.7112007141,-110.942001343,6221.0,United States,Wyoming,7023,asphalt,False,118,Great Basin Coordination Center
KAFP,,,AFP,Anson County Airport - Jeff Cloud Field,small_airport,35.020599,-80.077103,300.0,United States,North Carolina,5498,asphalt,False,100,Southern Area Coordination Center
KAFW,AFW,KAFW,AFW,Perot Field/Fort Worth Alliance Airport,medium_airport,32.99044,-97.31947,722.0,United States,Texas,"11000,11010","grooved concrete,grooved concrete",False,100,Southern Area Coordination Center
KAGS,AGS,KAGS,AGS,Augusta Regional At Bush Field,medium_airport,33.3699,-81.9645,144.0,United States,Georgia,"6001,8001","asphalt,asphalt",False,100,Southern Area Coordination Center
KAHC,AHC,KAHC,AHC,Amedee Army Air Field,small_airport,40.26620102,-120.1529999,4012.0,United States,California,7167,asphalt,False,87,Northern California Geographic Area Coordination Center
KAHN,AHN,KAHN,AHN,Athens Ben Epps Airport,medium_airport,33.948842,-83.325634,808.0,United States,Georgia,5522,asphalt,False,100,Southern Area Coordination Center
KAIA,AIA,KAIA,AIA,Alliance Municipal Airport,medium_airport,42.052543,-102.803965,3931.0,United States,Nebraska,"6200,6311,9202","asphalt,asphalt,asphalt",False,119,Rocky Mountain Area Coordination Center
KAID,AID,KAID,AID,Anderson Municipal Darlington Field,small_airport,40.10860061649999,-85.6129989624,919.0,United States,Indiana,5400,asphalt,False,51,Eastern Area Coordination Center
KAIK,AIK,KAIK,AIK,Aiken Regional Airport,small_airport,33.649399,-81.684998,528.0,United States,South Carolina,5500,asphalt,False,100,Southern Area Coordination Center
KAIO,AIO,KAIO,AIO,Atlantic Municipal Airport,small_airport,41.40729904,-95.04689789,1165.0,United States,Iowa,5000,grooved concrete,False,51,Eastern Area Coordination Center
KAIZ,AIZ,KAIZ,AIZ,Lee C Fine Memorial Airport,small_airport,38.0960006714,-92.54949951170002,869.0,United States,Missouri,6497,asphalt,False,51,Eastern Area Coordination Center
